set_id,description,result
42,tastiness,"[[""179"", ""https://s3.amazonaws.com/popop-uploads/68ea036b7fb84d088e772966ade76d45.jpeg"", 0.61741847655322923], [""177"", ""https://s3.amazonaws.com/popop-uploads/2441d3e29f5745d9aa44be6a0241a299.jpeg"", 0.1880764084639327], [""178"", ""https://s3.amazonaws.com/popop-uploads/eab61006ccec41469c97d4a657574f69.jpeg"", 0.19450511498283812]]"
43,beautiful,"[[""182"", ""https://s3.amazonaws.com/popop-uploads/cdcd4726b1f34b9eb88f2578e0e25dbb.jpeg"", 0.19316397940521526], [""181"", ""https://s3.amazonaws.com/popop-uploads/3f193effcce044198870d454c74ceaa8.jpeg"", 0.41870781171257659], [""180"", ""https://s3.amazonaws.com/popop-uploads/3985183976dc449ea78de16d5d6d350f.jpeg"", 0.38812820888220806]]"
24,Which school delivers the best quality of education?,"[[""92"", ""https://s3.amazonaws.com/popop-uploads/3246a19e51034d948a09a8e7b181ed45.png"", 0.42102296695870489], [""90"", ""https://s3.amazonaws.com/popop-uploads/3796c1f90c1d49c4981fbdc0d6887a3a.png"", 0.31122820397849815], [""91"", ""https://s3.amazonaws.com/popop-uploads/d26298a89866454aaff76def409410e5.png"", 0.2677488290627969]]"
25,Which lipstick color is the most trendy?,"[[""94"", ""https://s3.amazonaws.com/popop-uploads/6c6aeec68bc247bb8fb1b622c1561e0e.jpeg"", 0.31235087816074514], [""95"", ""https://s3.amazonaws.com/popop-uploads/f4bee0a55bb34752b4a43cfbad6c60ed.jpeg"", 0.29790268069467252], [""93"", ""https://s3.amazonaws.com/popop-uploads/4aa720f25f494cd2acee6399c3d36c47.jpeg"", 0.3897464411445824]]"
26,Which Penn baseball cap is the coolest?,"[[""96"", ""https://s3.amazonaws.com/popop-uploads/cf476297faf04212b06e7d229e538160.jpeg"", 0.2610729743279156], [""97"", ""https://s3.amazonaws.com/popop-uploads/b37fb1cbda3d4a54a99b3713cd569d69.jpeg"", 0.47754892599035492], [""98"", ""https://s3.amazonaws.com/popop-uploads/2c41cde52ddc43878f562a37f6f38d31.jpeg"", 0.26137809968172948]]"
27,Which Harry Potter book is the best?,"[[""103"", ""https://s3.amazonaws.com/popop-uploads/75d1f30dc2294db4b99e5ed663cda982.jpeg"", 0.15930307370461511], [""100"", ""https://s3.amazonaws.com/popop-uploads/4e6fab97e7104c9aadbae745f822dae1.jpeg"", 0.14080928265469184], [""99"", ""https://s3.amazonaws.com/popop-uploads/99a1f6cb24394bb2a33cc89045e6829f.jpeg"", 0.090891509535213202], [""101"", ""https://s3.amazonaws.com/popop-uploads/8019d81d0ad843a2b73cb1d627504007.jpeg"", 0.10536466826686228], [""105"", ""https://s3.amazonaws.com/popop-uploads/3c8239f966de4c7c84241a271f9a04f3.jpeg"", 0.18294742506984343], [""102"", ""https://s3.amazonaws.com/popop-uploads/748ecddaeec54a6f8f9b9034b7b2bd81.jpeg"", 0.1569938596723163], [""104"", ""https://s3.amazonaws.com/popop-uploads/9e42a66b022f4df19a4844637d845e51.jpeg"", 0.16369018109645778]]"
20,Who is your favorite Friends character?,"[[""80"", ""https://s3.amazonaws.com/popop-uploads/b4586f8486674de7a17e10e4dc315480.jpeg"", 0.28025970463174005], [""78"", ""https://s3.amazonaws.com/popop-uploads/969cc88f92874cc7a2d79a2a5d97dcee.jpeg"", 0.64241053619412292], [""79"", ""https://s3.amazonaws.com/popop-uploads/d7038848d0214f169e17288a3c403a80.jpeg"", 0.077329759174137092]]"
21,What's the best coffee?,"[[""82"", ""https://s3.amazonaws.com/popop-uploads/751f67d88eb5428b9da091c9b609a48f.png"", 0.35453402280192153], [""81"", ""https://s3.amazonaws.com/popop-uploads/c541221102704de1a300520e78483bd3.png"", 0.37588763949591625], [""83"", ""https://s3.amazonaws.com/popop-uploads/55c0072c62d94db7b5b4b1b23bd7645b.jpeg"", 0.26957833770216222]]"
22,Which puppy is the cutest?,"[[""85"", ""https://s3.amazonaws.com/popop-uploads/851d19b3f48e4a82b1dfc5060a11b384.jpeg"", 0.19382731581186943], [""86"", ""https://s3.amazonaws.com/popop-uploads/fbd1cae224524674b2741a87e31e563f.jpeg"", 0.41189236012975972], [""84"", ""https://s3.amazonaws.com/popop-uploads/172d15eacb9c441697c26c8954e52967.jpeg"", 0.39428032405837088]]"
23,Which is the hottest pic of our hottest prez?,"[[""87"", ""https://s3.amazonaws.com/popop-uploads/ab23e330b79c437eb4eec05b6fe2056f.jpeg"", 0.52944371191982209], [""88"", ""https://s3.amazonaws.com/popop-uploads/cc6466cb42af4b4e8463e515bf1cf50d.jpeg"", 0.38947841623917456], [""89"", ""https://s3.amazonaws.com/popop-uploads/5f8d518cd1f4496ca26f6d2175a7254b.jpeg"", 0.081077871841003221]]"
