id,description,json
1,Vote by the best logo,"[{u'confident': u'no', u'score': u'0.306871', u'label': u'/art and entertainment/visual art and design/design/graphic design'}, {u'confident': u'no', u'score': u'0.195317', u'label': u'/law, govt and politics/politics/elections/referendums'}, {u'confident': u'no', u'score': u'0.177659', u'label': u'/style and fashion/clothing/shirts'}]"
2,CATS CATS CATS,"[{u'score': u'0.996726', u'label': u'/pets/cats'}, {u'confident': u'no', u'score': u'0.0748522', u'label': u'/pets'}, {u'confident': u'no', u'score': u'0.029481', u'label': u'/health and fitness/disease/thyroid disease'}]"
3,Which pupper is cutest?,[]
4,quality of cat,"[{u'score': u'1', u'label': u'/pets/cats'}, {u'confident': u'no', u'score': u'2.91851e-05', u'label': u'/pets/dogs'}, {u'confident': u'no', u'score': u'1.49958e-05', u'label': u'/pets/birds'}]"
5,best art,[]
6,Cutest dog,"[{u'score': u'1', u'label': u'/pets/dogs'}, {u'confident': u'no', u'score': u'2.68384e-05', u'label': u'/pets/cats'}, {u'confident': u'no', u'score': u'2.0057e-05', u'label': u'/sports/dog sled'}]"
7,Best CIS professor,"[{u'score': u'0.998832', u'label': u'/travel/tourist destinations/eastern europe'}, {u'confident': u'no', u'score': u'0.0289982', u'label': u'/technology and computing/software/databases'}, {u'confident': u'no', u'score': u'0.0251978', u'label': u'/technology and computing/hardware/computer peripherals/printers, copiers and fax/scanners'}]"
8,Most representative picture of Penn,[]
9,Most enjoy spending time with students from which school?,"[{u'score': u'0.998821', u'label': u'/education/school'}, {u'confident': u'no', u'score': u'0.0122903', u'label': u'/hobbies and interests'}, {u'confident': u'no', u'score': u'0.00986169', u'label': u'/finance/personal finance/saving'}]"
10,Favorite college w/ heavy sports culture,"[{u'score': u'0.959335', u'label': u'/education/graduate school/college'}, {u'confident': u'no', u'score': u'0.278872', u'label': u'/sports'}, {u'confident': u'no', u'score': u'0.00535421', u'label': u'/society'}]"
