id,description,json
1,Vote by the best logo,"[{""confident"": ""no"", ""score"": ""0.306871"", ""label"": ""/art and entertainment/visual art and design/design/graphic design""}, {""confident"": ""no"", ""score"": ""0.195317"", ""label"": ""/law, govt and politics/politics/elections/referendums""}, {""confident"": ""no"", ""score"": ""0.177659"", ""label"": ""/style and fashion/clothing/shirts""}]"
2,CATS CATS CATS,"[{""score"": ""0.996726"", ""label"": ""/pets/cats""}, {""confident"": ""no"", ""score"": ""0.0748522"", ""label"": ""/pets""}, {""confident"": ""no"", ""score"": ""0.029481"", ""label"": ""/health and fitness/disease/thyroid disease""}]"
3,Which pupper is cutest?,[]
4,quality of cat,"[{""score"": ""1"", ""label"": ""/pets/cats""}, {""confident"": ""no"", ""score"": ""2.91851e-05"", ""label"": ""/pets/dogs""}, {""confident"": ""no"", ""score"": ""1.49958e-05"", ""label"": ""/pets/birds""}]"
5,best art,[]
6,Cutest dog,"[{""score"": ""1"", ""label"": ""/pets/dogs""}, {""confident"": ""no"", ""score"": ""2.68384e-05"", ""label"": ""/pets/cats""}, {""confident"": ""no"", ""score"": ""2.0057e-05"", ""label"": ""/sports/dog sled""}]"
7,Best CIS professor,"[{""score"": ""0.998832"", ""label"": ""/travel/tourist destinations/eastern europe""}, {""confident"": ""no"", ""score"": ""0.0289982"", ""label"": ""/technology and computing/software/databases""}, {""confident"": ""no"", ""score"": ""0.0251978"", ""label"": ""/technology and computing/hardware/computer peripherals/printers, copiers and fax/scanners""}]"
8,Most representative picture of Penn,[]
9,Most enjoy spending time with students from which school?,"[{""score"": ""0.998821"", ""label"": ""/education/school""}, {""confident"": ""no"", ""score"": ""0.0122903"", ""label"": ""/hobbies and interests""}, {""confident"": ""no"", ""score"": ""0.00986169"", ""label"": ""/finance/personal finance/saving""}]"
10,Favorite college w/ heavy sports culture,"[{""score"": ""0.959335"", ""label"": ""/education/graduate school/college""}, {""confident"": ""no"", ""score"": ""0.278872"", ""label"": ""/sports""}, {""confident"": ""no"", ""score"": ""0.00535421"", ""label"": ""/society""}]"
11,Favorite phone,"[{""score"": ""0.999998"", ""label"": ""/technology and computing/consumer electronics/telephones/mobile phones""}, {""confident"": ""no"", ""score"": ""0.00103888"", ""label"": ""/technology and computing/hardware/computer""}, {""confident"": ""no"", ""score"": ""0.000594694"", ""label"": ""/technology and computing/hardware/computer peripherals""}]"
