id,set_id,worker_id,description,first,second,third,first_addr,second_addr,third_addr
1,1,1,Vote by the best logo,3,2,1,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/logos/fedora.png,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/logos/centos.png,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/logos/arch.png
2,1,1,Vote by the best logo,3,4,2,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/logos/fedora.png,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/logos/ubuntu.png,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/logos/centos.png
3,2,1,CATS CATS CATS,7,5,6,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat3.jpg,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat1.jpg,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat2.jpg
4,2,1,CATS CATS CATS,7,8,6,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat3.jpg,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat4.jpg,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat2.jpg
5,2,1,CATS CATS CATS,7,9,8,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat3.jpg,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat5.jpg,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat4.jpg
6,3,1,Which pupper is cutest?,11,10,12,https://s3.amazonaws.com/popop-uploads/19300af62a25455aa1d35e2359c3b7ac.jpeg,https://s3.amazonaws.com/popop-uploads/91621a0d05b449fcaa56cad5e4e2030e.jpeg,https://s3.amazonaws.com/popop-uploads/fb01e775ee7c4d7b9f15c20cc2e2aa9e.jpeg
7,3,1,Which pupper is cutest?,12,13,11,https://s3.amazonaws.com/popop-uploads/fb01e775ee7c4d7b9f15c20cc2e2aa9e.jpeg,https://s3.amazonaws.com/popop-uploads/2dd641adbb93451b8d4c243ef309fd3e.jpeg,https://s3.amazonaws.com/popop-uploads/19300af62a25455aa1d35e2359c3b7ac.jpeg
8,3,1,Which pupper is cutest?,12,13,14,https://s3.amazonaws.com/popop-uploads/fb01e775ee7c4d7b9f15c20cc2e2aa9e.jpeg,https://s3.amazonaws.com/popop-uploads/2dd641adbb93451b8d4c243ef309fd3e.jpeg,https://s3.amazonaws.com/popop-uploads/d15aa18da0b8457e81f6d6fbbed18a50.jpeg
9,3,1,Which pupper is cutest?,14,15,13,https://s3.amazonaws.com/popop-uploads/d15aa18da0b8457e81f6d6fbbed18a50.jpeg,https://s3.amazonaws.com/popop-uploads/93514351f6ff4f768b9bc56f04ed22d1.jpeg,https://s3.amazonaws.com/popop-uploads/2dd641adbb93451b8d4c243ef309fd3e.jpeg
10,4,1,quality of cat,17,16,18,https://s3.amazonaws.com/popop-uploads/ec33987facac4929b4496025987749e0.png,https://s3.amazonaws.com/popop-uploads/597c5ad0274c41b1be671a0c0a8f44a7.png,https://s3.amazonaws.com/popop-uploads/5426f014379c4cd599cfe64f2d5dd3e1.png
11,5,1,best art,19,20,21,https://s3.amazonaws.com/popop-uploads/04e96ff64e9247178f3472f47bc9ee33.jpeg,https://s3.amazonaws.com/popop-uploads/2b61b13192064ab1bcfbf716c0c08737.jpeg,https://s3.amazonaws.com/popop-uploads/9dd63d6af0de4b9dbf3e01677bf5c0c1.jpeg
12,5,1,best art,19,20,21,https://s3.amazonaws.com/popop-uploads/04e96ff64e9247178f3472f47bc9ee33.jpeg,https://s3.amazonaws.com/popop-uploads/2b61b13192064ab1bcfbf716c0c08737.jpeg,https://s3.amazonaws.com/popop-uploads/9dd63d6af0de4b9dbf3e01677bf5c0c1.jpeg
13,6,1,Cutest dog,22,24,23,https://s3.amazonaws.com/popop-uploads/36b99f658c2446828028d35878586926.jpeg,https://s3.amazonaws.com/popop-uploads/88dd5a1d37944c5788d39148cc182794.jpeg,https://s3.amazonaws.com/popop-uploads/233e9b28ae344590a38ffc9046cff0f6.jpeg
14,6,1,Cutest dog,25,23,24,https://s3.amazonaws.com/popop-uploads/4f78d286588d4a2f8e48c54bfd03f4bd.jpeg,https://s3.amazonaws.com/popop-uploads/233e9b28ae344590a38ffc9046cff0f6.jpeg,https://s3.amazonaws.com/popop-uploads/88dd5a1d37944c5788d39148cc182794.jpeg
15,6,1,Cutest dog,25,24,26,https://s3.amazonaws.com/popop-uploads/4f78d286588d4a2f8e48c54bfd03f4bd.jpeg,https://s3.amazonaws.com/popop-uploads/88dd5a1d37944c5788d39148cc182794.jpeg,https://s3.amazonaws.com/popop-uploads/d816f5491e934c65bc4dfd691945c1b1.jpeg
