id,user_id,description,tag
1,1,Vote by the best logo,Other
2,1,CATS CATS CATS,Other
3,1,Which pupper is cutest?,Other
4,1,quality of cat,Other
5,1,best art,Other
6,1,Cutest dog,Other
7,1,Best CIS professor,Other
8,1,Most representative picture of Penn,Other
9,1,Most enjoy spending time with students from which school?,Other
10,1,Favorite college w/ heavy sports culture,Other
11,1,Favorite phone,Other
12,1,best casual outfit for a date,Other
13,1,Which is the prettiest button?,Other
14,1,Which is the better designed marketing poster?,Other
15,1,Which rowing picture is coolest?,Other
16,1,Which cookie looks the best?,Other
17,1,What is Jennifer Aniston's best look?,Other
18,1,What is the prettiest sunset?,Other
19,1,What is the healthiest?,Other
20,1,Who is your favorite Friends character?,Other
21,1,What's the best coffee?,Other
22,1,Which puppy is the cutest?,Other
23,1,Which is the hottest pic of our hottest prez?,Other
24,1,Which school delivers the best quality of education?,Other
25,1,Which lipstick color is the most trendy?,Other
26,1,Which Penn baseball cap is the coolest?,Other
27,1,Which Harry Potter book is the best?,Other
28,1,Which social media platforms are the most helpful for everyday life?,Other
29,1,Which Monet is the prettiest?,Other
30,1,Which presidential candidate would you most like to see in a dunk tank?,Other
31,1,sort by how beautiful you think the photo is,Other
32,1,I want my photos to be sorted by most exciting to least exciting,Other
33,1,which is a better background ,Other
34,4,Best minimalist wallpaper,Other
35,2,which wallpaper is the best?,Other
36,8,accuracy,Other
37,3,which maymay is spiciest ,Other
38,14,Who is cooler?,Other
39,15,Best pepe,Other
40,24,What food should I order,Other
41,8,attractiveness ,Other
42,8,tastiness,Other
43,8,beautiful,Other
44,26,Unfunniness,Other
45,26,Tinder Profile Picture Order,Other
